Key,TR,EN
msg.cooking.recipecycled,Tarif: {0} — {1} (satış x{2}),Recipe: {0} — {1} (sales x{2})
msg.cooking.finishdoughfirst,Önce hazır hamuru bitir (ya da çöpe at)!,Finish current dough first (or dump it)!
msg.cooking.ingredientout,{0} bitti! Tabletten (T) sipariş ver.,Out of {0}! Order from tablet (T).
msg.cooking.bowlfull,Kase doldu! Yoğurmaya başla.,Bowl is full! Start kneading.
msg.cooking.addduringknead,"Yoğururken malzeme ekledin, kıvam biraz bozuldu.","You added ingredients while kneading, texture got worse."
msg.cooking.doughready,Hamur zaten hazır — dürüm hazırlamaya başla!,Dough is already ready — start preparing wraps!
msg.cooking.notenough,Malzeme yetersiz! En az 6 birim ve bulgur şart.,Not enough ingredients! Need at least 6 units and bulgur.
msg.cooking.nowater,"Su yok — hamur kupkuru, yoğrulmuyor!",No water — dough is too dry to knead!
msg.cooking.overknead,"Hamur fazla yoğruldu, biraz sertleşti.",Dough was over-kneaded and got a bit tough.
msg.cooking.finished,"Hamur hazır! 6 birim — {0}, {1} ({2} tarifi)","Dough ready! 6 servings — {0}, {1} ({2} recipe)"
msg.cooking.dumped,Kaseyi ve hamuru çöpe boşalttın. Temiz sayfa.,You dumped the bowl and dough. Fresh start.
msg.cooking.fridge.in,Hamur buzdolabına kaldırıldı (tazelik korunuyor).,Dough moved to fridge (freshness preserved).
msg.cooking.fridge.out,Hamur buzdolabından alındı.,Dough taken from fridge.
msg.cooking.fridge.swap,Hamurlar takas edildi.,Doughs swapped.
msg.cooking.fridge.empty,"Buzdolabı boş, tezgahta da hamur yok.",Fridge is empty and there's no dough on the counter.
msg.cooking.spoiled.counter,Tezgahtaki hamur bozuldu! Çöpe gitti.,Counter dough spoiled! Thrown away.
msg.cooking.spoiled.fridge,Buzdolabındaki hamur bozuldu!,Fridge dough spoiled!
msg.customer.regular.arrived,"{0} geldi! ({1}. ziyaret) 'Selam usta, her zamankinden!'","{0} arrived! ({1}th visit) 'Hi boss, same as usual!'"
msg.customer.influencer.angry,Fenomen müşteri sinirle çekim yaparak gitti! Bu her yere yayılacak...,Influencer customer left angrily while recording! This will spread everywhere...
msg.customer.vip.leftangry,VIP müşteri küplere binip gitti! İtibar çakıldı!,VIP customer stormed off! Reputation crashed!
msg.customer.leftangry,Müşteri beklemekten sıkılıp gitti!,Customer got tired of waiting and left!
msg.customer.regular.new,"{0} artık müdavimin! 'Ben buraya hep geleceğim usta.'","{0} is now your regular! 'I'll always come here, boss.'"
msg.customer.none,Tezgahta bekleyen müşteri yok.,No customer waiting at the counter.
msg.customer.nowrap,Elinde sarılmış dürüm yok! Lavaş + hamur + garnitür + sarma (F).,You have no wrapped dürüm! Flatbread + dough + toppings + wrap (F).
msg.customer.hygienecomplaint,"Titiz müşteri: 'Bu tezgahın hali ne böyle?!'","Hygiene-sensitive customer: 'What is this counter condition?!'"
msg.customer.familychain,"Aile memnun kaldı, akrabaları da yolda!","Family is satisfied, relatives are on the way!"
msg.customer.served,+{0} TL | Doğruluk %{1} | Kalite: {2},+{0} TL | Accuracy {1}% | Quality: {2}
msg.customer.notes,Notlar: {0},Notes: {0}
msg.customer.influencer.good,Fenomen hikaye paylaştı! Mahalle bunu konuşuyor. (itibar x3),Influencer shared a story! The neighborhood is talking. (rep x3)
msg.customer.regular.tip,"{0}: 'İşte bu! Üstü kalsın.' (+15 TL)","{0}: 'That's it! Keep the change.' (+15 TL)"
msg.customer.regular.memory,"{0}: 'Geçen sefer de böyle olmuştu...' (hataları unutmuyor)","{0}: 'It was like this last time too...' (doesn't forget mistakes)"
msg.customer.dialogue,Müşteri: '{0}',Customer: '{0}'
msg.customer.inspector.good,"Müfettiş: 'Tertemiz işletme, tebrikler!' (+5 popülerlik)","Inspector: 'Spotless business, congratulations!' (+5 popularity)"
msg.customer.inspector.warn,"Müfettiş: 'İdare eder ama dikkat et...' (uyarı)","Inspector: 'Acceptable, but be careful...' (warning)"
msg.customer.inspector.fine,"Müfettiş: 'Bu ne pislik! 200 TL ceza!'","Inspector: 'What is this filth! 200 TL fine!'"
msg.customer.inspector.report,Müfettiş raporu: {0},Inspector report: {0}
msg.customer.inspector.incoming,Sağlık müfettişi geliyor! Hijyene dikkat!,Health inspector is coming! Watch your hygiene!
msg.order.wrapexists,Tezgahta zaten açık bir lavaş var. (Çöp istasyonunda iptal edebilirsin),There is already an open flatbread on the counter. (You can cancel at trash station)
msg.order.nolavas,Lavaş bitti! Tabletten (T) sipariş ver.,Out of flatbread! Order from tablet (T).
msg.order.wrapstarted,"Lavaş tezgahta. Yoğurma kabından hamur ekle (E), garnitür için rakam tuşları.","Flatbread is on the counter. Add dough with (E), use number keys for toppings."
msg.order.alreadywrapped,"Dürüm sarıldı, artık içine hamur giremez.","Wrap is already rolled, you can't add dough now."
msg.order.maxportion,En fazla 2 porsiyon sığar!,Maximum 2 portions fit!
msg.order.nodough,Hamur yok! Önce malzeme + yoğurma.,No dough! Add ingredients and knead first.
msg.order.portionadded,"Çiğköfte eklendi ({0} porsiyon, {1}).","Cigkofte added ({0} portions, {1})."
msg.order.toppingremoved,{0} çıkarıldı (ziyan oldu).,{0} removed (wasted).
msg.order.nogarnish,Doğranmış marul yok! Doğrama istasyonuna git.,No chopped lettuce! Go to chopping station.
msg.order.toppingout,{0} bitti! Tabletten sipariş ver.,Out of {0}! Order from tablet.
msg.order.toppingadded,{0} eklendi.,{0} added.
msg.order.ayranremoved,Ayran geri kondu.,Ayran returned.
msg.order.noayran,Ayran bitti! Tabletten sipariş ver.,Out of ayran! Order from tablet.
msg.order.ayranadded,Yanına ayran kondu.,Ayran added as side drink.
msg.order.needwrapforside,Önce lavaş koy — yan ürün siparişe eklenir.,Place flatbread first — side item is added to an order.
msg.order.noside,Yan ürün yok.,No side item.
msg.order.sideadded,Yanına {0} kondu (+{1} TL).,{0} added as side (+{1} TL).
msg.order.nosidestock,Yan ürün stoğu yok! Tabletten içli köfte/çorba/künefe/çay sipariş et.,No side stock! Order kofte/soup/kunefe/tea from tablet.
msg.order.packed,Paket olarak hazırlanıyor.,Preparing as takeaway.
msg.order.plate,Tabakta servis edilecek.,Will be served on a plate.
msg.order.wrapalreadydone,Zaten sarılı. Servise götür ya da rafa kaldır.,Already wrapped. Serve it or shelf it.
msg.order.emptywrap,İçi boş dürüm mü olur? Önce çiğköfte ekle!,An empty wrap? Add cigkofte first!
msg.order.wrapfinished,Dürüm sarıldı! Servis tezgahına götür (E) veya paketle rafa kaldır.,Wrap rolled! Bring to service counter (E) or shelf it for delivery.
msg.order.needwrapped,Önce sarılmış bir dürüm gerek.,You need a wrapped dürüm first.
msg.order.shelffull,Paket rafı dolu!,Delivery shelf is full!
msg.order.shelved,Paket rafa kondu ({0}/{1}). Paket servis için hazır.,Package placed on shelf ({0}/{1}). Ready for delivery.
msg.order.discarded,Yarım dürüm çöpe gitti.,Half-made wrap was trashed.
order.note.spiceclose,acılık biraz farklı,spice level is a bit off
order.note.spicewrong,acılık tamamen yanlış!,spice level is completely wrong!
order.note.portionlow,porsiyon eksik,portion is missing
order.note.portionhigh,porsiyon fazla,portion is too much
order.note.toppingmissing,{0} eksik,{0} missing
order.note.toppingextra,{0} istememişti,{0} was not requested
order.note.ayranmissing,ayran unutuldu,ayran forgotten
order.note.ayranextra,istenmeyen ayran,unwanted ayran
order.note.packneeded,paket olacaktı,should have been takeaway
order.note.plateneeded,tabakta olacaktı,should have been on plate
order.note.sidemissing,{0} unutuldu,{0} was forgotten
order.note.sideextra,{0} istememişti,{0} was not requested
order.note.prepslow,biraz yavaş hazırlandı,prepared a bit slowly
order.note.preptoolate,çok yavaş hazırlandı,prepared too slowly
order.desc.twopart,", 2 porsiyon",", 2 portions"
order.desc.single,", dürüm",", wrap"
order.desc.noonion, | soğansız, | no onion
order.desc.withayran, | ayranlı, | with ayran
order.desc.side, | yanında {0}, | side {0}
order.desc.packed, | PAKET, | TAKEAWAY
order.desc.plate, | tabakta, | on plate
order.wrap.portion,{0} porsiyon,{0} portions
order.wrap.spice, ({0}), ({0})
order.wrap.ayran, | ayran, | ayran
order.wrap.side, | {0}, | {0}
order.wrap.packed, | paket, | takeaway
order.wrap.plate, | tabak, | plate
order.wrap.wrapped, | SARILI, | WRAPPED
quest.daily.serve,{0} dürüm sat,Sell {0} wraps
quest.daily.portion,{0} porsiyonluk sipariş sat,Sell {0} double-portion orders
quest.daily.delivery,2 paket servis teslim et,Deliver 2 takeaway orders
quest.daily.accurate,{0} isabetli servis yap (%80+ doğruluk),Make {0} accurate serves (80%+ accuracy)
quest.daily.wash,3 kez ellerini yıka,Wash your hands 3 times
quest.daily.clean,3 temizlik işi yap (tezgah/bulaşık/çöp),Do 3 cleaning tasks (counter/dishes/bin)
msg.quest.dailynew,GÜNÜN GÖREVİ: {0} — Ödül {1} TL,DAILY QUEST: {0} — Reward {1} TL
msg.quest.dailydone,GÖREV TAMAM! +{0} TL · +20 XP,QUEST COMPLETE! +{0} TL · +20 XP
msg.quest.story.rentintro,"Ev Sahibi: 'Dükkanı devraldın ama borcun bende. Akşam kirayı aksatma!'","Landlord: 'You took over the shop, but you owe me. Don't miss rent tonight!'"
quest.story.payrent,İlk kirayı öde (gün sonunda kasada para kalsın),Pay first rent (keep cash positive at day end)
quest.story.serve10,10 müşteriyi memnun et ({0}/10),Satisfy 10 customers ({0}/10)
quest.story.threestars,Dükkân puanını 3 yıldıza çıkar,Raise shop score to 3 stars
quest.story.delivery3,3 paket servis teslim et ({0}/3),Deliver 3 takeaway orders ({0}/3)
quest.story.hire,Çırak işe al (tabletten),Hire an apprentice (from tablet)
quest.story.renovate,3 dükkân geliştirmesi kur,Install 3 shop upgrades
quest.story.rival,Bir rakibi popülerlikte geç,Surpass a rival in popularity
quest.story.car,Aracı bakıma al (tamir + full depo),Service the car (repair + full tank)
quest.story.branch,İkinci şubeyi aç (tablet > dükkân),Open second branch (tablet > shop)
quest.story.brand,Markanı kur: 5000 TL birikim + 5 sadık müşteri,Build your brand: 5000 TL savings + 5 loyal customers
quest.story.festival,Festival: bir günde 15 servis yap,Festival: make 15 serves in one day
quest.story.best,Şehrin en iyisi ol: itibar 90+,Become best in town: reputation 90+
quest.story.done,Hikâye tamamlandı — sen artık bir efsanesin!,Story completed — you are now a legend!
msg.quest.storydone,HİKÂYE HEDEFİ TAMAMLANDI! +{0} TL · +40 XP,STORY GOAL COMPLETE! +{0} TL · +40 XP
msg.quest.story.serve10,"Muhtar: 'Kirayı ödemişsin, aferin. Şimdi mahalleye kendini sevdir bakalım.'","Headman: 'You paid rent, good. Now make the neighborhood love you.'"
msg.quest.story.threestars,"Kurye: 'İnternette hakkında yazıyorlar usta, puanına dikkat et!'","Courier: 'They're talking about you online, boss. Watch your rating!'"
msg.quest.story.opendelivery,"Ev Sahibi: 'Paket servis yapmıyor musun? Bak millet evine istiyor.'","Landlord: 'No deliveries yet? People want it at home.'"
msg.quest.story.hire,"Eski Usta: 'Tek başına bu tezgah dönmez evlat, kendine bir çırak bul.'","Old Master: 'You can't run this counter alone, find an apprentice.'"
msg.quest.story.renovate,"Muhtar: 'Dükkan biraz eski kaldı, elden geçirsen?'","Headman: 'Shop looks old, maybe renovate it?'"
msg.quest.story.beatrival,"Rakip Dükkan Sahibi: 'Bu mahallede tek çiğköfteci bize yeter, çok büyüme!'","Rival Owner: 'One cigkofte shop is enough in this area, don't grow too much!'"
msg.quest.story.upgradecar,"Kurye: 'Senin araba kaç yıllık? Bir bakım yaptır şuna.'","Courier: 'How old is your car? Get it serviced.'"
msg.quest.story.secondbranch,"Eski Usta: 'Vakti geldi. İkinci şubeyi aç, adını büyüt.'","Old Master: 'Time has come. Open a second branch and grow your name.'"
msg.quest.story.ownbrand,"Muhtar: 'Artık marka olma vaktin geldi. Birikim yap, müdavimlerini artır.'","Headman: 'Time to become a brand. Save up and grow your regulars.'"
msg.quest.story.festival,"Muhtar: 'Sokak festivali yaklaşıyor! O gün rekor kırmalısın.'","Headman: 'Street festival is coming! You must break a record that day.'"
msg.quest.story.bestintown,"Fenomen: 'Şehrin en iyisi ünvanı boş durmuyor. İtibarını zirveye taşı!'","Influencer: 'Best-in-town title isn't free. Push your reputation to the top!'"
msg.quest.story.completed,"Eski Usta: 'Gizli tarifim artık senin. Sen bu şehrin çiğköfte efsanesisin!'","Old Master: 'My secret recipe is yours now. You're this city's cigkofte legend!'"
tutorial.1,1/8 — Arka tezgahtan malzeme ekle (E): bulgur + su şart,1/8 — Add ingredients from back counter (E): bulgur + water required
tutorial.2,"2/8 — Yoğurma kabında ritimle yoğur (Sol Tık), hamuru bitir","2/8 — Knead rhythmically in bowl (LMB), finish the dough"
tutorial.3,3/8 — Müşteri gelince siparişine bak (sağ alt panel),3/8 — Check order when customer arrives (bottom-right panel)
tutorial.4,4/8 — Lavaş istasyonu (E) > yoğurma kabından hamur (E) > garnitür (rakamlar) > sar (F),4/8 — Flatbread station (E) > dough from bowl (E) > toppings (numbers) > wrap (F)
tutorial.5,"5/8 — Servis tezgahına git, dürümü müşteriye ver (E)","5/8 — Go to service counter, give wrap to customer (E)"
tutorial.6,6/8 — Tableti aç (T) ve bir stok siparişi ver,6/8 — Open tablet (T) and place one stock order
tutorial.7,7/8 — Ellerini yıka (Lavabo) ya da tezgahı sil (Temizlik),7/8 — Wash hands (Sink) or wipe counter (Cleaning)
tutorial.8,"8/8 — Günü tamamla, kirayı ödemeyi unutma!","8/8 — Finish the day, don't forget to pay rent!"
msg.tutorial.wraphint,"Rehber: Şimdi yoğurma kabına gidip E ile hamur ekle, sonra F ile sar.","Guide: Go to kneading bowl, add dough with E, then wrap with F."
msg.tutorial.done,Eğitim tamamlandı! Artık dükkan senin. (Ayarlardan tekrar başlatabilirsin),Tutorial complete! The shop is yours now. (You can restart from settings)
msg.tutorial.guide,Rehber: {0},Guide: {0}
msg.tutorial.reset,Eğitim yeniden başlatıldı.,Tutorial restarted.
msg.tutorial.skip,Eğitim atlandı.,Tutorial skipped.
bal.skill.hizliel.name,Hızlı El,Quick Hands
bal.skill.hizliel.desc,Yoğurma vuruşları rütbe başına %15 daha etkili,Kneading hits are 15% more effective per rank
bal.skill.keskinbicak.name,Keskin Bıçak,Sharp Knife
bal.skill.keskinbicak.desc,Doğrama rütbe başına 1 vuruş azalır,Chopping needs 1 less hit per rank
bal.skill.guleryuzlu.name,Güler Yüz,Friendly Face
bal.skill.guleryuzlu.desc,Bahşiş ve itibar kazancı rütbe başına %12 artar,Tip and reputation gain increase 12% per rank
bal.skill.temizisci.name,Temiz İşçi,Clean Worker
bal.skill.temizisci.desc,Kirlenme rütbe başına %15 yavaşlar,Dirt buildup slows by 15% per rank
bal.skill.dayaniklibunye.name,Dayanıklı Bünye,Sturdy Body
bal.skill.dayaniklibunye.desc,Enerji tüketimi rütbe başına %20 azalır,Energy drain is reduced by 20% per rank
bal.skill.hizliayak.name,Hızlı Ayak,Fast Feet
bal.skill.hizliayak.desc,Koşu hızı rütbe başına %8 artar,Run speed increases 8% per rank
bal.skill.pazarlikustasi.name,Pazarlık Ustası,Bargaining Master
bal.skill.pazarlikustasi.desc,Stok maliyeti rütbe başına %8 düşer,Stock cost drops 8% per rank
bal.skill.mutfakustasi.name,Mutfak Ustası,Kitchen Master
bal.skill.mutfakustasi.desc,Hamur kalitesi rütbe başına %5 artar,Dough quality increases 5% per rank
bal.upgrade.buyukbuzdolabi.name,Büyük Buzdolabı,Large Fridge
bal.upgrade.buyukbuzdolabi.desc,Hamur tazeliği çok daha yavaş düşer,Dough freshness decays much slower
bal.upgrade.ikinciyogurma.name,İkinci Yoğurma,Second Knead
bal.upgrade.ikinciyogurma.desc,Yoğurma vuruşları %40 daha etkili,Kneading hits are 40% more effective
bal.upgrade.hizlidograma.name,Hızlı Doğrama,Fast Chopping
bal.upgrade.hizlidograma.desc,Garnitür 2 vuruşta hazır,Toppings are ready in 2 hits
bal.upgrade.yenitabela.name,Yeni Tabela,New Signboard
bal.upgrade.yenitabela.desc,Müşteriler %15 daha sık gelir,Customers come 15% more often
bal.upgrade.klima.name,Klima,Air Conditioner
bal.upgrade.klima.desc,Müşteri sabrı +%20,Customer patience +20%
bal.upgrade.muziksistemi.name,Müzik Sistemi,Music System
bal.upgrade.muziksistemi.desc,Atmosfer +1 yıldız · sabır +%8,Atmosphere +1 star · patience +8%
bal.upgrade.ikincikasa.name,İkinci Kasa,Second Register
bal.upgrade.ikincikasa.desc,Kuyruk kapasitesi +2,Queue capacity +2
bal.upgrade.disoturma.name,Dış Oturma Alanı,Outdoor Seating
bal.upgrade.disoturma.desc,Aile müşterileri artar · atmosfer +0.5,More family customers · atmosphere +0.5
bal.upgrade.buyukcop.name,Büyük Çöp Kutusu,Large Trash Bin
bal.upgrade.buyukcop.desc,Çöp iki kat geç dolar,Trash fills up twice as slowly
bal.upgrade.hijyenekipmani.name,Hijyen Ekipmanı,Hygiene Equipment
bal.upgrade.hijyenekipmani.desc,Kirlenme %35 yavaşlar,Dirt buildup slows by 35%
bal.upgrade.iyilavabo.name,Daha İyi Lavabo,Better Sink
bal.upgrade.iyilavabo.desc,El yıkarken tezgah da kısmen temizlenir,Hand washing also partly cleans the counter
bal.upgrade.dekorasyon.name,Dekorasyon,Decoration
bal.upgrade.dekorasyon.desc,Atmosfer +1 yıldız · itibar kazancı +%10,Atmosphere +1 star · reputation gain +10%
bal.upgrade.yenisube.name,Yeni Şube,New Branch
bal.upgrade.yenisube.desc,Her gün +250 TL pasif gelir,+250 TL passive income per day
bal.trait.impatient.name,Sabırsız,Impatient
bal.trait.patient.name,Sakin,Patient
bal.trait.pricesensitive.name,Hesaplı,Price-sensitive
bal.trait.generous.name,Eli Açık,Generous
bal.trait.hygienesensitive.name,Titiz,Hygiene-sensitive
bal.trait.qualityfocused.name,Gurme,Gourmet
bal.trait.influencer.name,Fenomen,Influencer
bal.trait.tourist.name,Turist,Tourist
bal.trait.student.name,Öğrenci,Student
bal.trait.family.name,Aile,Family
bal.trait.regular.name,Müdavim,Regular
bal.trait.spicyfoodlover.name,Acı Delisi,Spice Lover
bal.trait.indecisive.name,Kararsız,Indecisive
bal.trait.secretcritic.name,Gizli Eleştirmen,Secret Critic
bal.achievement.ilkdurum.name,Bereketli Olsun,May It Be Prosperous
bal.achievement.ilkdurum.desc,İlk dürümünü sat,Sell your first wrap
bal.achievement.yuzdurum.name,Mahallenin Dilinde,Talk of the Neighborhood
bal.achievement.yuzdurum.desc,100 dürüm sat,Sell 100 wraps
bal.achievement.bindurum.name,Dürüm Makinesi,Wrap Machine
bal.achievement.bindurum.desc,1000 dürüm sat,Sell 1000 wraps
bal.achievement.ilkbinlira.name,İlk Bin,First Thousand
bal.achievement.ilkbinlira.desc,Toplam 1.000 TL kazan,"Earn a total of 1,000 TL"
bal.achievement.onbinlira.name,On Bin,Ten Thousand
bal.achievement.onbinlira.desc,Toplam 10.000 TL kazan,"Earn a total of 10,000 TL"
bal.achievement.kasadolu.name,Kasa Dolu,Cash Loaded
bal.achievement.kasadolu.desc,Kasanda aynı anda 20.000 TL bulundur,"Hold 20,000 TL at once"
bal.achievement.mukemmelon.name,Usta İşi,Masterwork
bal.achievement.mukemmelon.desc,10 kusursuz sipariş çıkar,Serve 10 perfect orders
bal.achievement.mukemmelyuz.name,Kusursuz Yüz,Perfect Hundred
bal.achievement.mukemmelyuz.desc,100 kusursuz sipariş çıkar,Serve 100 perfect orders
bal.achievement.ilkteslimat.name,Kurye,Courier
bal.achievement.ilkteslimat.desc,İlk paket servisini teslim et,Complete your first delivery
bal.achievement.elliteslimat.name,Mahalle Kuryesi,Neighborhood Courier
bal.achievement.elliteslimat.desc,50 paket servis teslim et,Complete 50 deliveries
bal.achievement.besyildiz.name,Beş Yıldız,Five Stars
bal.achievement.besyildiz.desc,İtibarı 90'ın üstüne çıkar,Raise reputation above 90
bal.achievement.temizmutfak.name,Tertemiz,Spotless
bal.achievement.temizmutfak.desc,Hijyeni %95'in üstünde tut,Keep hygiene above 95%
bal.achievement.onuncugun.name,Onuncu Gün,Tenth Day
bal.achievement.onuncugun.desc,10. güne ulaş,Reach day 10
bal.achievement.otuzuncugun.name,Bir Ay Dayandı,Lasted a Month
bal.achievement.otuzuncugun.desc,30. güne ulaş,Reach day 30
bal.achievement.sonseviye.name,Çiğköfte Ustası,Cigkofte Master
bal.achievement.sonseviye.desc,Seviye 10'a ulaş,Reach level 10
bal.achievement.evsahibi.name,Ev Sahibi,Home Owner
bal.achievement.evsahibi.desc,Mahalledeki evi satın al,Buy the house in the neighborhood
bal.achievement.kedidostu.name,Kedi Dostu,Cat Friend
bal.achievement.kedidostu.desc,Dükkânın kedisini doyur ve sev,Feed and pet the shop cat
bal.achievement.cirakpatronu.name,Patron,Boss
bal.achievement.cirakpatronu.desc,Bir çırak işe al,Hire an apprentice
bal.achievement.tumdukkan.name,Tam Donanım,Fully Equipped
bal.achievement.tumdukkan.desc,Bütün dükkân geliştirmelerini al,Buy all shop upgrades
bal.achievement.devretme.name,Devretme,Handover
bal.achievement.devretme.desc,Dükkânı devredip yeniden başla,Prestige and restart the shop
